geo_description,year,estimate,moe,se,cv,type,subtype
Davidson,2018,0.2811109011902513,0.05330221847990954,0.027195009428525277,9.6741212501468,Race / Ethnicity,"White, non-Hispanic"
Davie,2018,0.5781908777309314,0.25867065495296443,0.1319748239555941,22.82547667882963,Race / Ethnicity,"Black, non-Hispanic"
Davie,2018,0.42886014551333873,0.19141800783828394,0.09766224889708365,22.772516849329403,Race / Ethnicity,Hispanic / Latino
Davie,2018,0.2724246052106493,0.05649691087385153,0.02882495452747527,10.580892465710539,Race / Ethnicity,"White, non-Hispanic"
Duplin,2018,0.5909959356654045,0.09906936851528343,0.050545596181267055,8.552613162112118,Race / Ethnicity,"Black, non-Hispanic"
Duplin,2018,0.47563101644811645,0.2069756238486595,0.10559980808605077,22.202044112817017,Race / Ethnicity,Hispanic / Latino
Duplin,2018,0.25302322605413013,0.05796259436226882,0.029572752225647356,11.687761905035845,Race / Ethnicity,"White, non-Hispanic"
Durham,2018,0.3886739391333942,0.05372977842181505,0.027413152256028087,7.052994681647489,Race / Ethnicity,"Black, non-Hispanic"
Durham,2018,0.6183134407000985,0.11440517267152316,0.05836998605689957,9.440193632344286,Race / Ethnicity,Hispanic / Latino
Durham,2018,0.17488272508976827,0.026518831457196614,0.013530016049590109,7.736622380881289,Race / Ethnicity,"White, non-Hispanic"
Edgecombe,2018,0.4350554779814723,0.08172101906385233,0.041694397481557316,9.583696698868588,Race / Ethnicity,"Black, non-Hispanic"
Edgecombe,2018,0.5096090849530465,0.2322361458903702,0.11848782953590316,23.250729438392998,Race / Ethnicity,Hispanic / Latino
Edgecombe,2018,0.17710836045132447,0.05172403026427459,0.02638981135932377,14.900375844525199,Race / Ethnicity,"White, non-Hispanic"
Forsyth,2018,0.4972294889488537,0.07963541178655967,0.04063031213599983,8.17134000276061,Race / Ethnicity,"Black, non-Hispanic"
Forsyth,2018,0.6166054431433037,0.11502129046274485,0.05868433186874738,9.517323033930582,Race / Ethnicity,Hispanic / Latino
Forsyth,2018,0.22093215105617703,0.03002963252188106,0.015321241082592378,6.934817322580001,Race / Ethnicity,"White, non-Hispanic"
Franklin,2018,0.4598007515511667,0.08161009454904936,0.04163780334135171,9.055618808991497,Race / Ethnicity,"Black, non-Hispanic"
Franklin,2018,0.2812469556746225,0.11834055869045412,0.06037783606655823,21.46790742027088,Race / Ethnicity,Hispanic / Latino
Franklin,2018,0.3169494984380151,0.07252161537295554,0.037000824169875275,11.674044083433506,Race / Ethnicity,"White, non-Hispanic"
Gaston,2018,0.45317584360347435,0.11671766028857883,0.05954982667784634,13.14055625832343,Race / Ethnicity,"Black, non-Hispanic"
Gaston,2018,0.4688680998698965,0.17497341342006167,0.0892721497041131,19.039928229044524,Race / Ethnicity,Hispanic / Latino
Gaston,2018,0.29732363419690405,0.04570008289435317,0.023316368823649576,7.842083891725942,Race / Ethnicity,"White, non-Hispanic"
Graham,2018,0.6676798378926039,0.3094812267548948,0.15789858507902796,23.648847264491742,Race / Ethnicity,"Black, non-Hispanic"
Graham,2018,0.5708717948717948,0.18311378985404736,0.09342540298675886,16.3653912885537,Race / Ethnicity,Hispanic / Latino
Graham,2018,0.3469911287355382,0.05388343872965631,0.02749155037227363,7.922839547067069,Race / Ethnicity,"White, non-Hispanic"
Greene,2018,0.5109118636937316,0.0878047218372203,0.04479832746796954,8.76830832310132,Race / Ethnicity,"Black, non-Hispanic"
Greene,2018,0.560226547543076,0.19900642420764236,0.10153388990185835,18.1237198321187,Race / Ethnicity,Hispanic / Latino
Greene,2018,0.23061806656101427,0.0713526862277884,0.03640443174887163,15.78559403074354,Race / Ethnicity,"White, non-Hispanic"
