year,fmr1,fmr2,fmr3,fmr4,countyname
2009,652,787,1103,1134,Brunswick
2009,604,690,925,1212,Buncombe
2009,534,614,788,917,Burke
2009,682,757,954,1110,Cabarrus
2009,534,614,788,917,Caldwell
2009,556,656,886,908,Camden
2009,527,634,923,1112,Carteret
2009,484,592,723,755,Caswell
2009,534,614,788,917,Catawba
2009,738,827,1081,1165,Chatham
2009,486,577,838,1010,Cherokee
2009,556,656,886,908,Chowan
2009,481,577,757,882,Clay
2009,567,682,898,1009,Cleveland
2009,520,577,691,711,Columbus
2009,549,630,849,1061,Craven
2009,607,678,963,1139,Cumberland
2009,781,904,1236,1490,Currituck
2009,654,802,1060,1091,Dare
2009,496,598,779,890,Davidson
2009,575,666,908,1067,Davie
2009,518,577,730,752,Duplin
2009,738,827,1081,1165,Durham
2009,453,577,717,738,Edgecombe
2009,575,666,908,1067,Forsyth
2009,715,795,999,1035,Franklin
2009,682,757,954,1110,Gaston
2009,556,656,886,908,Gates
2009,481,577,757,882,Graham
2009,532,640,799,950,Granville
2009,481,577,815,842,Greene
2009,627,699,886,947,Guilford
2009,521,577,734,842,Halifax
2009,534,592,799,1040,Harnett
2009,508,633,820,1061,Haywood
2009,604,690,925,1212,Henderson
2009,518,577,757,778,Hertford
2009,565,626,857,1045,Hoke
2009,556,656,886,908,Hyde
2009,585,700,928,1210,Iredell
2009,517,615,807,833,Jackson
2009,715,795,999,1035,Johnston
2009,526,629,871,1107,Jones
2009,578,652,801,1144,Lee
2009,439,577,690,990,Lenoir
2009,556,618,747,768,Lincoln
2009,495,639,789,812,McDowell
2009,476,613,745,1075,Macon
2009,604,690,925,1212,Madison
2009,508,577,747,769,Martin
2009,682,757,954,1110,Mecklenburg
2009,547,647,774,914,Mitchell
2009,519,577,720,1013,Montgomery
2009,531,669,962,1173,Moore
2009,453,577,717,738,Nash
2009,652,787,1103,1134,New Hanover
2009,508,577,734,755,Northampton
2009,550,618,868,1018,Onslow
2009,738,827,1081,1165,Orange
2009,490,577,726,747,Pamlico
2009,545,648,941,969,Pasquotank
2009,517,621,817,840,Pender
2009,556,656,886,908,Perquimans
2009,505,609,727,834,Person
2009,519,640,887,916,Pitt
2009,535,657,821,847,Polk
2009,627,699,886,947,Randolph
2009,520,577,725,748,Richmond
2009,497,577,692,771,Robeson
2009,493,584,725,748,Rockingham
2009,593,658,939,1003,Rowan
2009,524,641,767,790,Rutherford
2009,489,577,801,1016,Sampson
2009,478,606,736,917,Scotland
2009,484,592,806,877,Stanly
2009,575,666,908,1067,Stokes
2009,519,577,771,793,Surry
2009,481,577,757,882,Swain
2009,665,736,929,980,Transylvania
2009,556,656,886,908,Tyrrell
2009,682,757,954,1110,Union
2009,479,577,691,713,Vance
2009,715,795,999,1035,Wake
2009,490,588,719,739,Warren
2009,542,618,742,761,Washington
2009,586,737,896,1157,Watauga
2009,515,603,755,1009,Wayne
2009,484,577,740,771,Wilkes
2009,545,661,791,839,Wilson
2009,575,666,908,1067,Yadkin
2009,479,577,689,710,Yancey
2008,619,722,980,1010,Alamance
2008,520,598,767,893,Alexander
2008,485,555,728,750,Alleghany
2008,496,555,780,824,Anson
2008,461,555,734,867,Ashe
2008,533,630,753,890,Avery
2008,471,555,668,687,Beaufort
2008,482,555,664,685,Bertie
2008,438,555,809,874,Bladen
2008,635,767,1075,1105,Brunswick
2008,609,695,931,1220,Buncombe
2008,520,598,767,893,Burke
2008,667,740,932,1085,Cabarrus
2008,520,598,767,893,Caldwell
2008,541,639,863,884,Camden
2008,514,618,900,1084,Carteret
2008,472,577,705,736,Caswell
2008,520,598,767,893,Catawba
2008,710,796,1040,1122,Chatham
2008,467,555,806,972,Cherokee
2008,541,639,863,884,Chowan
2008,463,555,728,848,Clay
2008,553,665,876,984,Cleveland
2008,500,555,665,684,Columbus
2008,535,614,828,1034,Craven
2008,591,660,937,1109,Cumberland
2008,787,904,1247,1561,Currituck
2008,637,781,1032,1062,Dare
2008,484,583,760,868,Davidson
2008,563,652,889,1045,Davie
2008,498,555,702,724,Duplin
2008,710,796,1040,1122,Durham
2008,436,555,689,710,Edgecombe
2008,563,652,889,1045,Forsyth
2008,717,797,1002,1038,Franklin
2008,667,740,932,1085,Gaston
2008,541,639,863,884,Gates
2008,463,555,728,848,Graham
2008,519,624,779,926,Granville
2008,462,555,784,810,Greene
2008,645,719,911,974,Guilford
2008,501,555,706,810,Halifax
2008,520,577,779,1013,Harnett
2008,495,617,799,1034,Haywood
2008,609,695,931,1220,Henderson
2008,498,555,728,749,Hertford
2008,551,610,835,1018,Hoke
2008,541,639,863,884,Hyde
2008,569,681,902,1177,Iredell
2008,504,599,786,812,Jackson
2008,717,797,1002,1038,Johnston
2008,512,612,847,1077,Jones
2008,563,635,780,1114,Lee
2008,424,557,666,956,Lenoir
2008,541,602,727,748,Lincoln
2008,482,623,769,791,McDowell
2008,463,597,725,1047,Macon
2008,609,695,931,1220,Madison
2008,489,555,719,739,Martin
2008,667,740,932,1085,Mecklenburg
2008,533,630,753,890,Mitchell
2008,500,555,692,975,Montgomery
2008,517,651,936,1142,Moore
2008,436,555,689,710,Nash
2008,635,767,1075,1105,New Hanover
2008,489,555,706,726,Northampton
2008,537,603,847,994,Onslow
2008,710,796,1040,1122,Orange
2008,472,555,699,719,Pamlico
2008,531,631,916,943,Pasquotank
2008,503,605,796,818,Pender
2008,541,639,863,884,Perquimans
2008,487,587,701,804,Person
2008,506,624,865,893,Pitt
2008,522,640,800,825,Polk
2008,645,719,911,974,Randolph
2008,500,555,698,719,Richmond
2008,478,555,666,741,Robeson
2008,480,569,707,729,Rockingham
2008,578,641,915,977,Rowan
2008,511,625,748,771,Rutherford
2008,471,555,771,977,Sampson
2008,466,590,717,893,Scotland
2008,472,577,786,855,Stanly
2008,563,652,889,1045,Stokes
2008,499,555,741,763,Surry
2008,463,555,728,848,Swain
2008,643,712,899,948,Transylvania
2008,541,639,863,884,Tyrrell
2008,667,740,932,1085,Union
2008,465,560,671,692,Vance
2008,717,797,1002,1038,Wake
2008,478,573,700,720,Warren
2008,528,602,722,742,Washington
2008,571,718,873,1127,Watauga
2008,501,587,735,982,Wayne
2008,465,555,712,741,Wilkes
2008,531,644,771,817,Wilson
2008,563,652,889,1045,Yadkin
2008,461,555,663,683,Yancey
2007,601,700,951,979,Alamance
2007,480,552,708,825,Alexander
2007,453,519,681,702,Alleghany
2007,464,519,730,770,Anson
2007,431,519,686,811,Ashe
2007,495,585,700,826,Avery
2007,441,519,625,643,Beaufort
2007,451,519,621,640,Bertie
2007,409,519,756,817,Bladen
2007,589,711,996,1025,Brunswick
2007,543,620,831,1089,Buncombe
2007,480,552,708,825,Burke
2007,637,707,891,1036,Cabarrus
2007,480,552,708,825,Caldwell
2007,502,593,801,821,Camden
2007,478,575,837,1009,Carteret
2007,438,536,655,684,Caswell
2007,480,552,708,825,Catawba
2007,700,785,1026,1106,Chatham
2007,437,519,754,909,Cherokee
2007,502,593,801,821,Chowan
2007,433,519,681,793,Clay
2007,515,619,815,916,Cleveland
2007,468,519,622,640,Columbus
2007,495,568,766,957,Craven
2007,548,612,869,1028,Cumberland
2007,735,844,1164,1458,Currituck
2007,591,725,958,986,Dare
2007,469,565,736,841,Davidson
2007,552,640,872,1025,Davie
2007,466,519,657,677,Duplin
2007,700,785,1026,1106,Durham
2007,472,601,746,769,Edgecombe
2007,552,640,872,1025,Forsyth
2007,764,850,1068,1107,Franklin
2007,637,707,891,1036,Gaston
2007,502,593,801,821,Gates
2007,433,519,681,793,Graham
2007,482,579,723,859,Granville
2007,432,519,733,757,Greene
2007,632,705,893,955,Guilford
2007,469,519,660,757,Halifax
2007,483,536,724,941,Harnett
2007,443,552,715,925,Haywood
2007,543,620,831,1089,Henderson
2007,466,519,681,700,Hertford
2007,510,565,773,943,Hoke
2007,502,593,801,821,Hyde
2007,528,631,836,1091,Iredell
2007,493,586,769,794,Jackson
2007,764,850,1068,1107,Johnston
2007,473,566,783,996,Jones
2007,523,590,725,1035,Lee
2007,395,519,620,891,Lenoir
2007,513,571,690,709,Lincoln
2007,448,579,715,735,McDowell
2007,429,553,672,970,Macon
2007,543,620,831,1089,Madison
2007,457,519,672,691,Martin
2007,637,707,891,1036,Mecklenburg
2007,495,585,700,826,Mitchell
2007,467,519,647,911,Montgomery
2007,479,603,867,1058,Moore
2007,472,601,746,769,Nash
2007,589,711,996,1025,New Hanover
2007,457,519,660,679,Northampton
2007,496,557,782,918,Onslow
2007,700,785,1026,1106,Orange
2007,441,519,653,672,Pamlico
2007,493,586,851,876,Pasquotank
2007,466,560,736,757,Pender
2007,502,593,801,821,Perquimans
2007,457,551,658,754,Person
2007,470,579,802,829,Pitt
2007,486,596,745,768,Polk
2007,632,705,893,955,Randolph
2007,468,519,652,673,Richmond
2007,447,519,623,693,Robeson
2007,451,534,663,684,Rockingham
2007,555,616,879,939,Rowan
2007,477,583,698,719,Rutherford
2007,440,519,721,913,Sampson
2007,432,548,666,830,Scotland
2007,438,536,730,794,Stanly
2007,552,640,872,1025,Stokes
2007,467,519,693,713,Surry
2007,433,519,681,793,Swain
2007,476,527,665,701,Transylvania
2007,502,593,801,821,Tyrrell
2007,637,707,891,1036,Union
2007,432,520,623,642,Vance
2007,764,850,1068,1107,Wake
2007,442,530,648,666,Warren
2007,489,558,670,687,Washington
2007,529,665,809,1044,Watauga
2007,465,544,681,910,Wayne
2007,435,519,666,693,Wilkes
2007,492,597,715,758,Wilson
2007,552,640,872,1025,Yadkin
2007,431,519,620,638,Yancey
2006,577,673,914,942,Alamance
2006,462,531,681,793,Alexander
2006,439,503,660,680,Alleghany
2006,450,503,707,746,Anson
2006,418,503,665,786,Ashe
2006,475,562,672,794,Avery
2006,427,503,606,623,Beaufort
2006,437,503,602,621,Bertie
2006,397,503,733,792,Bladen
2006,566,683,957,984,Brunswick
2006,522,596,799,1047,Buncombe
2006,462,531,681,793,Burke
2006,613,680,857,997,Cabarrus
2006,462,531,681,793,Caldwell
2006,483,570,770,789,Camden
2006,460,553,805,970,Carteret
2006,421,515,629,657,Caswell
2006,462,531,681,793,Catawba
2006,673,755,987,1064,Chatham
2006,424,503,731,881,Cherokee
2006,483,570,770,789,Chowan
2006,420,503,660,769,Clay
2006,495,595,784,880,Cleveland
2006,453,503,603,620,Columbus
2006,476,546,736,919,Craven
2006,526,588,835,988,Cumberland
2006,706,811,1118,1401,Currituck
2006,568,697,921,948,Dare
2006,451,543,708,809,Davidson
2006,531,615,838,985,Davie
2006,452,503,636,656,Duplin
2006,673,755,987,1064,Durham
2006,454,578,718,739,Edgecombe
2006,531,615,838,985,Forsyth
2006,734,817,1027,1064,Franklin
2006,613,680,857,997,Gaston
2006,483,570,770,789,Gates
2006,420,503,660,769,Graham
2006,463,557,695,827,Granville
2006,419,503,711,734,Greene
2006,608,678,859,919,Guilford
2006,454,503,640,734,Halifax
2006,465,515,695,904,Harnett
2006,426,531,688,890,Haywood
2006,522,596,799,1047,Henderson
2006,451,503,660,679,Hertford
2006,490,543,743,906,Hoke
2006,483,570,770,789,Hyde
2006,507,607,804,1050,Iredell
2006,473,563,739,763,Jackson
2006,734,817,1027,1064,Johnston
2006,455,544,753,957,Jones
2006,502,567,697,995,Lee
2006,383,503,601,863,Lenoir
2006,494,549,663,682,Lincoln
2006,431,557,688,707,McDowell
2006,413,532,646,933,Macon
2006,522,596,799,1047,Madison
2006,443,503,651,670,Martin
2006,613,680,857,997,Mecklenburg
2006,475,562,672,794,Mitchell
2006,453,503,627,883,Montgomery
2006,461,580,834,1017,Moore
2006,454,578,718,739,Nash
2006,566,683,957,984,New Hanover
2006,443,503,640,658,Northampton
2006,476,535,751,882,Onslow
2006,673,755,987,1064,Orange
2006,428,503,633,651,Pamlico
2006,473,563,817,842,Pasquotank
2006,448,538,707,727,Pender
2006,483,570,770,789,Perquimans
2006,439,530,633,726,Person
2006,452,557,772,797,Pitt
2006,467,573,716,739,Polk
2006,608,678,859,919,Randolph
2006,453,503,632,652,Richmond
2006,434,503,604,672,Robeson
2006,433,513,637,657,Rockingham
2006,533,592,845,902,Rowan
2006,458,560,670,690,Rutherford
2006,427,503,699,885,Sampson
2006,416,527,640,798,Scotland
2006,421,515,701,763,Stanly
2006,531,615,838,985,Stokes
2006,452,503,672,691,Surry
2006,420,503,660,769,Swain
2006,458,507,640,675,Transylvania
2006,483,570,770,789,Tyrrell
2006,613,680,857,997,Union
2006,418,503,603,621,Vance
2006,734,817,1027,1064,Wake
2006,425,509,622,640,Warren
2006,470,536,643,660,Washington
2006,508,639,777,1003,Watauga
2006,447,523,655,875,Wayne
2006,422,503,645,672,Wilkes
2006,473,574,687,728,Wilson
2006,531,615,838,985,Yadkin
2006,418,503,601,619,Yancey
