year,fmr1,fmr2,fmr3,fmr4,countyname
2016,818,947,1228,1513,Johnston
2016,484,648,845,1024,Jones
2016,574,703,872,964,Lee
2016,496,650,823,1e3,Lenoir
2016,667,772,1050,1348,Lincoln
2016,528,648,813,962,McDowell
2016,552,704,883,1044,Macon
2016,664,819,1073,1360,Madison
2016,484,648,822,888,Martin
2016,745,864,1173,1469,Mecklenburg
2016,484,648,820,1020,Mitchell
2016,526,648,888,1036,Montgomery
2016,674,780,1065,1069,Moore
2016,540,671,908,1010,Nash
2016,690,897,1260,1514,New Hanover
2016,484,648,888,1131,Northampton
2016,656,792,1154,1383,Onslow
2016,796,937,1262,1405,Orange
2016,521,676,985,1180,Pamlico
2016,625,837,1158,1415,Pasquotank
2016,593,686,915,1198,Pender
2016,592,792,1094,1246,Perquimans
2016,499,648,804,914,Person
2016,583,742,1034,1261,Pitt
2016,551,737,915,1088,Polk
2016,637,741,1003,1185,Randolph
2016,536,648,871,967,Richmond
2016,484,648,812,962,Robeson
2016,484,648,827,888,Rockingham
2016,531,684,885,1007,Rowan
2016,629,733,983,1140,Rutherford
2016,552,648,891,960,Sampson
2016,492,659,853,975,Scotland
2016,484,648,885,1131,Stanly
2016,569,698,974,1105,Stokes
2016,583,685,978,1196,Surry
2016,533,648,804,1049,Swain
2016,546,656,920,1032,Transylvania
2016,529,648,944,1020,Tyrrell
2016,745,864,1173,1469,Union
2016,495,649,828,1016,Vance
2016,818,947,1228,1513,Wake
2016,484,648,944,1131,Warren
2016,544,666,826,1163,Washington
2016,675,872,1191,1195,Watauga
2016,557,746,1001,1150,Wayne
2016,560,648,847,1094,Wilkes
2016,540,723,984,991,Wilson
2016,569,698,974,1105,Yadkin
2016,527,671,958,1056,Yancey
2015,551,695,903,929,Alamance
2015,533,632,827,1028,Alexander
2015,533,632,905,908,Alleghany
2015,533,632,925,1119,Anson
2015,482,632,787,845,Ashe
2015,524,709,1045,1048,Avery
2015,492,632,931,1050,Beaufort
2015,467,632,837,845,Bertie
2015,467,632,787,845,Bladen
