Series ID	Annual 2006	Annual 2007	Annual 2008	Annual 2009	Annual 2010	Annual 2011	Annual 2012	Annual 2013	Annual 2014	Annual 2015	Annual 2016	Annual 2017	Annual 2018
CXUMISCLB0502M	662	533	558	565	752	577	647	509	602	685	709	773	732
CXUMISCLB0503M	924	923	955	918	889	857	906	703	859	948	1064	1105	1101
CXUMISCLB0504M	887	977	955	838	866	887	917	697	751	870	1015	1109	1125
CXUMISCLB0505M	990	836	1005	942	920	900	938	758	1052	1003	1009	1282	868
CXUMISCLB0506M	921	935	946	1115	960	753	950	685	1011	998	1393	1096	1276
CXUMISCLB0507M	935	863	888	872	821	835	756	659	728	1069	870	832	1133
CXUMISCLB1101M	846	808	840	816	849	775	829	645	782	871	959	1010	993
CXUMISCLB1104M	727	652	743	768	716	661	665	587	664	698	711	846	926
