SERIALNO,SPORDER,year,total_taxes
7079,1,2018,12950
7096,1,2018,-4552
7099,1,2018,0
7201,1,2018,5762
7204,1,2018,0
7274,1,2018,-306
7302,1,2018,-5522
7316,1,2018,17567
7316,1,2018,4623
7323,1,2018,0
7373,1,2018,5937
7510,1,2018,0
7578,1,2018,0
7579,1,2018,10352
7585,1,2018,2091
7585,1,2018,-9344
7641,1,2018,2560
7682,1,2018,26183
7686,1,2018,18085
7689,1,2018,-479
7691,2,2018,-203
7691,1,2018,2788
7701,1,2018,0
7761,1,2018,1597
7786,1,2018,0
7803,1,2018,0
7824,1,2018,0
7848,1,2018,137
7853,1,2018,25593
7861,1,2018,6112
7907,1,2018,0
7909,1,2018,0
7925,1,2018,0
7927,1,2018,0
7947,1,2018,0
8005,1,2018,-40
8055,1,2018,3488
8077,1,2018,3838
8131,1,2018,5237
8148,1,2018,1010
8181,2,2018,3138
8181,3,2018,0
8181,1,2018,0
8184,1,2018,0
8196,2,2018,2263
8196,1,2018,12892
8236,1,2018,8375
8246,2,2018,0
8246,1,2018,0
8259,2,2018,123
8259,3,2018,17017
8259,1,2018,140
8272,2,2018,4887
8272,3,2018,2613
8272,1,2018,2788
8278,1,2018,138269
8295,1,2018,0
8299,1,2018,2613
8303,1,2018,0
8312,1,2018,2613
8322,1,2018,0
8328,1,2018,1418
8331,1,2018,0
8441,1,2018,-229
8464,1,2018,5610
8467,1,2018,-114
8469,1,2018,-6110
8489,1,2018,8222
8504,1,2018,34848
8545,1,2018,7667
8589,1,2018,0
8603,1,2018,0
8713,1,2018,10692
8714,2,2018,-191
8714,1,2018,17292
8809,1,2018,2945
8813,1,2018,0
8824,1,2018,30751
8827,1,2018,2263
8896,1,2018,2088
8916,1,2018,0
8921,1,2018,0
8964,1,2018,13317
8969,1,2018,0
9007,1,2018,0
9047,1,2018,0
9052,1,2018,1668
9053,1,2018,0
9054,1,2018,7280
9092,3,2018,3138
9092,1,2018,8025
9107,1,2018,0
9114,1,2018,-1926
9182,1,2018,2267
9183,1,2018,10355
9208,1,2018,38126
9214,1,2018,0
9215,1,2018,8575
9224,1,2018,0
9256,1,2018,4887
9279,1,2018,-71
9302,1,2018,0
9338,1,2018,0
9376,1,2018,12067
9386,1,2018,5909
9399,1,2018,32521
9431,1,2018,20010
9435,1,2018,1738
9459,1,2018,33609
9471,1,2018,13275
9482,1,2018,1913
9513,2,2018,1434
9513,1,2018,2613
9566,1,2018,8539
9572,1,2018,4341
9607,1,2018,29560
9625,1,2018,2753
9834,1,2018,0
9846,1,2018,7942
9858,1,2018,12617
9892,1,2018,0
9898,1,2018,1738
9939,1,2018,-3885
9956,1,2018,5806
10010,1,2018,0
10017,3,2018,328
10017,5,2018,2112
10017,1,2018,10302
10055,1,2018,4624
10057,1,2018,-2455
10063,1,2018,0
10079,1,2018,6976
10087,1,2018,-71
10115,1,2018,2496
10222,1,2018,0
10276,1,2018,7117
10284,1,2018,-519
10327,1,2018,2665
10330,1,2018,4887
10349,1,2018,0
10356,1,2018,9235
10409,5,2018,-519
10409,1,2018,0
10431,1,2018,2088
10433,1,2018,4001
10434,1,2018,0
10454,1,2018,26356
10466,7,2018,1620
10466,8,2018,-367
10466,1,2018,-6825
10493,1,2018,79203
10499,2,2018,-114
10499,4,2018,2788
10499,1,2018,19837
10501,1,2018,0
10517,1,2018,-130
10518,5,2018,-71
10518,1,2018,16911
10546,3,2018,-150
10546,4,2018,3593
10546,1,2018,0
10584,1,2018,-153
10610,2,2018,5937
10610,3,2018,3715
10610,1,2018,5237
10628,1,2018,0
10634,1,2018,-450
10642,1,2018,-6060
10671,1,2018,0
10754,1,2018,3977
10791,1,2018,922
10801,1,2018,9633
10838,1,2018,0
10838,1,2018,0
10856,1,2018,10100
10883,1,2018,0
10889,1,2018,0
10984,1,2018,13275
11009,1,2018,-519
11053,1,2018,0
11068,1,2018,0
11107,1,2018,0
11108,1,2018,63842
11174,1,2018,4577
11229,1,2018,1738
11282,1,2018,1668
11330,1,2018,0
11332,1,2018,2473
11350,1,2018,15335
11406,1,2018,0
11418,1,2018,5576
11433,1,2018,-7307
11434,2,2018,6287
11434,1,2018,11517
11478,1,2018,0
11554,1,2018,0
11612,1,2018,70176
11635,1,2018,17440
11660,1,2018,1418
11724,1,2018,37857
11764,1,2018,11792
11783,1,2018,8928
11818,1,2018,0
11832,1,2018,2088
11865,1,2018,3437
11889,2,2018,0
11889,1,2018,-459
11894,1,2018,0
11920,1,2018,3488
11924,1,2018,59995
11939,1,2018,-2663
11989,1,2018,10147
12003,1,2018,44866
12007,1,2018,3641
12060,1,2018,1480
12065,1,2018,4275
12091,1,2018,0
12132,1,2018,-459
12151,1,2018,-1204
12192,1,2018,0
12196,1,2018,0
12211,1,2018,0
12266,1,2018,-519
12277,1,2018,0
12285,1,2018,-27
12301,1,2018,6826
12329,1,2018,391
12332,1,2018,-153
12367,1,2018,0
12378,1,2018,0
12400,1,2018,2032
12431,1,2018,-519
12439,1,2018,45241
12440,1,2018,15885
12470,1,2018,0
12543,1,2018,8638
12587,1,2018,45244
12589,1,2018,2298
12603,1,2018,2120
12664,1,2018,1913
12703,3,2018,2893
12703,6,2018,3348
12703,1,2018,1889
12707,1,2018,1738
12713,1,2018,0
