"","SERIALNO","SPORDER","year","total_taxes"
"234",6745,1,2011,19559
"235",6850,1,2011,6805
"236",6876,1,2011,720
"237",6895,1,2011,2118
"238",6902,1,2011,7901
"239",6903,1,2011,0
"240",6915,2,2011,32518
"241",6915,1,2011,0
"242",6921,1,2011,4843
"243",6952,1,2011,-6840
"244",6973,1,2011,5500
"245",6991,1,2011,38461
"246",7173,3,2011,6232
"247",7173,1,2011,14226
"248",7210,1,2011,1305
"249",7213,1,2011,26194
"250",7226,1,2011,9069
"251",7278,1,2011,0
"252",7298,1,2011,24201
"253",7309,1,2011,0
"254",7311,1,2011,0
"255",7313,1,2011,24781
"256",7370,1,2011,17839
"257",7373,1,2011,0
"258",7456,5,2011,7321
"259",7456,1,2011,15919
"260",7464,1,2011,5900
"261",7553,1,2011,22729
"262",7565,1,2011,0
"263",7604,1,2011,-6169
"264",7605,1,2011,493
"265",7692,1,2011,7665
"266",7805,1,2011,3567
"267",7813,1,2011,6805
"268",7848,1,2011,0
"269",7876,2,2011,4799
"270",7876,1,2011,1438
"271",7924,1,2011,0
"272",7996,1,2011,0
"273",8038,1,2011,29526
"274",8051,1,2011,7523
"275",8051,3,2011,1710
"276",8051,4,2011,7951
"277",8107,1,2011,141
"278",8124,1,2011,781
"279",8154,1,2011,0
"280",8195,1,2011,0
"281",8248,1,2011,0
"282",8307,1,2011,16758
"283",8314,1,2011,0
"284",8324,1,2011,4513
"285",8341,1,2011,0
"286",8355,1,2011,0
"287",8371,1,2011,2204
"288",8371,2,2011,1664
"289",8386,1,2011,8258
"290",8393,1,2011,4513
"291",8407,1,2011,0
"292",8408,1,2011,44931
"293",8439,1,2011,468
"294",8473,1,2011,2037
"295",8482,1,2011,11789
"296",8537,1,2011,-1845
"297",8553,1,2011,-3189
"298",8575,1,2011,60862
"299",8608,1,2011,3081
"300",8707,1,2011,2899
"301",8778,2,2011,3367
"302",8778,1,2011,5373
"303",8961,1,2011,2118
"304",9016,1,2011,22121
"305",9024,2,2011,15654
"306",9024,1,2011,0
"307",9035,1,2011,10629
"308",9052,1,2011,0
"309",9103,1,2011,2503
"310",9105,1,2011,0
"311",9106,1,2011,-1060
