taxsim_id year state fiitax siitax fica frate srate ficar
319. 2017 34 -1797.49 1271.71 6772.28 31.06 5.50 15.30
419. 2017 34 3457.83 2769.58 10939.83 15.00 5.50 15.30
519. 2017 34 4322.10 2774.81 10418.89 15.00 5.50 15.30
120. 2017 34 1130.06 675.94 3219.44 15.00 5.50 15.30
220. 2017 34 2260.12 1351.88 6438.87 15.00 5.50 15.30
320. 2017 34 -1385.04 1344.73 6975.45 31.06 5.50 15.30
420. 2017 34 3779.59 2887.54 11268.03 15.00 5.50 15.30
520. 2017 34 4628.54 2887.15 10731.46 15.00 5.50 15.30
121. 2017 34 1224.75 710.65 3316.02 15.00 5.50 15.30
221. 2017 34 2449.50 1421.31 6632.04 15.00 5.50 15.30
321. 2017 34 -960.23 1419.94 7184.71 31.06 5.50 15.30
421. 2017 34 4111.00 3009.03 11606.07 15.00 5.50 15.30
521. 2017 34 4944.17 3002.86 11053.40 15.00 5.50 15.30
122. 2017 34 1322.28 746.41 3415.50 15.00 5.50 15.30
222. 2017 34 2644.56 1492.82 6831.00 15.00 5.50 15.30
322. 2017 34 -481.78 1497.41 7400.25 36.06 5.50 15.30
422. 2017 34 4452.36 3134.17 11954.25 15.00 5.50 15.30
522. 2017 34 5480.45 3122.04 11385.00 25.00 5.50 15.30
123. 2017 34 1422.74 783.24 3517.97 15.00 5.50 15.30
223. 2017 34 2845.47 1566.47 7035.93 15.00 5.50 15.30
323. 2017 34 41.46 1577.20 7622.26 36.06 5.50 15.30
423. 2017 34 4803.95 3263.07 12312.88 15.00 5.50 15.30
523. 2017 34 6120.74 3244.80 11726.55 30.00 5.50 15.30
124. 2017 34 1526.21 821.17 3623.50 15.00 5.50 15.30
224. 2017 34 3052.41 1642.34 7247.01 15.00 5.50 15.30
324. 2017 34 429.49 1659.39 7850.93 15.00 5.50 15.30
424. 2017 34 5166.10 3395.83 12682.27 15.00 5.50 15.30
524. 2017 34 6810.54 3371.24 12078.35 30.00 5.50 15.30
125. 2017 34 1632.78 860.24 3732.21 15.00 5.50 15.30
225. 2017 34 3265.56 1720.48 7464.42 15.00 5.50 15.30
325. 2017 34 660.40 1744.04 8086.45 15.00 5.50 15.30
425. 2017 34 5539.10 3532.58 13062.73 15.00 5.50 15.30
525. 2017 34 7521.03 3701.47 12440.70 30.00 5.50 15.30
126. 2017 34 1742.55 900.48 3844.18 15.00 5.50 15.30
226. 2017 34 3485.10 1800.96 7688.35 15.00 5.50 15.30
326. 2017 34 898.23 1831.23 8329.05 15.00 5.50 15.30
426. 2017 34 5923.30 3673.42 13454.62 15.00 5.50 15.30
526. 2017 34 8252.84 3835.61 12813.92 30.00 5.50 15.30
127. 2017 34 1855.61 941.93 3959.50 15.00 5.50 15.30
227. 2017 34 3711.23 1883.86 7919.00 15.00 5.50 15.30
327. 2017 34 1143.21 1921.04 8578.92 15.00 5.50 15.30
427. 2017 34 6319.02 3818.50 13858.26 15.00 5.50 15.30
527. 2017 34 9006.60 3973.78 13198.34 30.00 5.50 15.30
128. 2017 34 1972.07 984.62 4078.29 15.00 5.50 15.30
228. 2017 34 3944.14 1969.24 8156.57 15.00 5.50 15.30
328. 2017 34 1395.53 2013.54 8836.29 15.00 5.50 15.30
428. 2017 34 6726.62 3967.92 14274.00 15.00 5.50 15.30
528. 2017 34 9782.97 4116.09 13594.29 30.00 5.50 15.30
129. 2017 34 2092.02 1028.60 4200.64 15.00 5.50 15.30
229. 2017 34 4184.04 2057.19 8401.27 15.00 5.50 15.30
329. 2017 34 1655.42 2108.82 9101.38 15.00 5.50 15.30
429. 2017 34 7146.44 4121.83 14702.22 15.00 5.50 15.30
529. 2017 34 10582.63 4262.67 14002.12 30.00 5.50 15.30
130. 2017 34 2215.57 1073.89 4326.65 15.00 5.50 15.30
230. 2017 34 4431.14 2147.78 8653.31 15.00 5.50 15.30
330. 2017 34 1923.11 2206.95 9374.42 15.00 5.50 15.30
430. 2017 34 7578.86 4280.35 15143.29 15.00 5.50 15.30
530. 2017 34 11406.29 4413.64 14422.18 30.00 5.50 15.30
